keyword,cluster,parent_topic,intent,volume,kd,cpc,growth_y,serp_features,traffic_potential,business_potential,serp_intent_fit,ranking_potential,content_effort,target_page_type,target_url,priority,source,notes,captured_at,country,language
bulletproof glass thickness,glass-spec,glass specifications,informational,90,0,4.02,-36,"ai_overview,images,people_also_ask,organic",low,medium,medium,very-high,low,spec-page,/specifications/ballistic-glass-levels,2,dataforseo-ideas,monthly growth +40,2026-09-01,US,en
what is bullet proof glass,glass-spec,glass educational,informational,110,8,0,-29,"organic,people_also_ask,related_searches,knowledge_graph",low,medium,medium,high,low,edu-page,/learn/what-is-bulletproof-glass,2,dataforseo-ideas,TOFU educational,2026-09-01,US,en
how to make bulletproof glass,glass-spec,glass educational,informational,110,6,0,0,"ai_overview,video,people_also_ask,organic",low,low,medium,high,medium,edu-page,/learn/what-is-bulletproof-glass,4,dataforseo-ideas,low value but builds authority,2026-09-01,US,en
is bulletproof glass really bulletproof,glass-spec,glass educational,informational,50,0,0,33,"ai_overview,people_also_ask,organic,video",low,medium,high,very-high,low,edu-page,/learn/what-is-bulletproof-glass,3,dataforseo-ideas,"fits test-not-certification angle; growth +33",2026-09-01,US,en
is bulletproof glass illegal,glass-spec,glass educational,informational,10,0,0,0,"featured_snippet,people_also_ask,organic,images",low,low,low,very-high,low,edu-page,/learn/what-is-bulletproof-glass,5,dataforseo-ideas,compliance reassurance,2026-09-01,US,en
bulletproof glass material,glass-spec,glass specifications,informational,40,1,3,-20,"ai_overview,organic,people_also_ask,video",low,low,low,very-high,low,spec-page,/specifications/ballistic-glass-levels,5,dataforseo-ideas,monthly +33,2026-09-01,US,en
armored car,vehicle-core,armored vehicles,informational,6600,43,0,-18,"organic,ai_overview,people_also_ask,images",high,high,low,medium,high,hub-page,/armored-vehicles,2,dataforseo-ideas,KD 43 high; use as hub not landing,2026-09-01,US,en
armoured car,vehicle-core,armored vehicles,informational,6600,43,0,-18,"organic,ai_overview,people_also_ask,images",high,high,low,medium,high,hub-page,/armored-vehicles,2,dataforseo-ideas,British spelling variant,2026-09-01,US,en
armored vehicles for sale,vehicle-core,armored vehicles,transactional,1900,12,0,-16,"organic,images,related_searches",medium,high,high,high,medium,money-page,/armored-vehicles,1,dataforseo-ideas,,2026-09-01,US,en
armored vehicle,vehicle-core,armored vehicles,informational,1300,44,0,-19,"organic,product_considerations,people_also_ask,images",medium,high,low,medium,high,hub-page,/armored-vehicles,3,dataforseo-ideas,KD 44 informational,2026-09-01,US,en
armored vehicles for civilians,vehicle-tofu,civilian protection,informational,880,9,0,-32,"ai_overview,organic,people_also_ask,video",medium,high,high,high,medium,tofu-article,/learn/how-to-protect-your-vehicle,1,dataforseo-ideas,TOFU high-intent,2026-09-01,US,en
bulletproof car for sale,vehicle-core,armored vehicles,transactional,3600,13,0,-19,"organic,local_pack,people_also_ask,related_searches",high,high,medium,medium,medium,comparison-page,/armored-vehicles/bulletproof-cars,2,dataforseo-ideas,local_pack present,2026-09-01,US,en
used bulletproof cars for sale,vehicle-core,armored vehicles,transactional,260,2,0,-34,"organic,related_searches,images",low,medium,high,very-high,low,listing-page,/armored-vehicles/bulletproof-cars,3,dataforseo-ideas,low KD,2026-09-01,US,en
how much is a bulletproof car,vehicle-cost,armored vehicle cost,informational,320,0,0,23,"ai_overview,organic,people_also_ask,related_searches",medium,high,high,very-high,low,cost-article,/cost/bulletproof-car-cost,1,dataforseo-ideas,growth +23,2026-09-01,US,en
bulletproof car price,vehicle-cost,armored vehicle cost,commercial,210,10,0,0,"ai_overview,organic,people_also_ask,related_searches",low,high,high,high,low,cost-article,/cost/bulletproof-car-cost,2,dataforseo-ideas,,2026-09-01,US,en
bulletproof car price in usa,vehicle-cost,armored vehicle cost,commercial,30,7,0,0,"ai_overview,organic,people_also_ask,related_searches",low,high,medium,high,low,cost-article,/cost/bulletproof-car-cost,3,dataforseo-ideas,,2026-09-01,US,en
how much to armor a car,vehicle-cost,armored vehicle cost,informational,20,0,0,-50,"ai_overview,organic,people_also_ask,discussions_and_forums",low,high,high,very-high,low,cost-article,/cost/bulletproof-car-cost,3,dataforseo-ideas,TOFU cost question,2026-09-01,US,en
armored car vip,vehicle-tofu,vip protection,informational,90,10,0,-64,"ai_overview,organic,video,images",low,high,medium,high,low,tofu-article,/learn/vip-vehicle-protection,3,dataforseo-ideas,,2026-09-01,US,en
how to bulletproof a car,vehicle-tofu,civilian protection,informational,50,19,0,0,"ai_overview,people_also_ask,video,organic",low,high,medium,medium,medium,tofu-article,/learn/how-to-bulletproof-a-car,2,dataforseo-ideas,JTBD question; AI Overview heavy,2026-09-01,US,en
how to protect your vehicle,vehicle-tofu,civilian protection,informational,10,0,0,0,"organic,people_also_ask,discussions_and_forums",low,medium,medium,very-high,medium,tofu-article,/learn/how-to-protect-your-vehicle,3,dataforseo-ideas,JTBD angle,2026-09-01,US,en
carjacking prevention,tofu-safety,personal safety,commercial,10,16,0,0,"featured_snippet,people_also_ask,organic,video",low,medium,medium,high,low,tofu-article,/learn/carjacking-prevention,3,dataforseo-ideas,JTBD safety need,2026-09-01,US,en
what is carjacking,tofu-safety,personal safety,informational,720,2,0,0,"ai_overview,people_also_ask,organic,video",medium,medium,medium,very-high,low,tofu-article,/learn/carjacking-prevention,2,dataforseo-ideas,good TOFU volume low KD,2026-09-01,US,en
carjacking statistics,tofu-safety,personal safety,informational,40,44,0,0,"ai_overview,organic,people_also_ask,related_searches",low,medium,low,low,medium,tofu-article,/learn/carjacking-prevention,4,dataforseo-ideas,KD 44 high,2026-09-01,US,en
bulletproof tires,tire-core,bulletproof tires,transactional,880,0,0.76,-41,"ai_overview,organic,people_also_ask,related_searches",medium,high,high,very-high,low,money-page,/products/bulletproof-tires,1,dataforseo-ideas,KD 0; perfect B2B landing,2026-09-01,US,en
bullet proof tires,tire-core,bulletproof tires,transactional,590,0,0.66,-41,"organic,people_also_ask,popular_products,video",medium,high,high,very-high,low,money-page,/products/bulletproof-tires,1,dataforseo-volume,spelling variant,2026-09-01,US,en
bullet resistant tires,tire-core,bulletproof tires,transactional,590,0,0.66,-41,"ai_overview,organic,people_also_ask,related_searches",medium,high,high,very-high,low,money-page,/products/bulletproof-tires,2,dataforseo-volume,,2026-09-01,US,en
armored tires,tire-core,bulletproof tires,transactional,170,0,1.62,0,"organic,people_also_ask",low,high,high,very-high,low,money-page,/products/bulletproof-tires,3,dataforseo-volume,,2026-09-01,US,en
bulletproof tires price,tire-cost,tire cost,commercial,70,0,0,-57,"ai_overview,organic,people_also_ask,images",low,high,high,very-high,low,cost-article,/cost/bulletproof-tires-cost,1,dataforseo-ideas,,2026-09-01,US,en
bulletproof tires for sale,tire-core,bulletproof tires,transactional,40,0,0,-57,"ai_overview,organic,people_also_ask,related_searches",low,high,high,very-high,low,money-page,/products/bulletproof-tires,3,dataforseo-ideas,,2026-09-01,US,en
are bulletproof tires real,tire-tofu,tire educational,informational,170,0,0,-18,"ai_overview,people_also_ask,organic,discussions_and_forums",low,medium,high,very-high,low,edu-page,/learn/are-bulletproof-tires-real,1,dataforseo-ideas,trust/education fits test-not-certification,2026-09-01,US,en
are bulletproof tires legal,tire-tofu,tire educational,informational,40,0,0,-50,"ai_overview,people_also_ask,organic,related_searches",low,medium,high,very-high,low,edu-page,/learn/are-bulletproof-tires-real,2,dataforseo-ideas,compliance reassurance,2026-09-01,US,en
run flat tires,tire-runflat,run-flat category,informational,22200,11,1.81,-18,"ai_overview,organic,people_also_ask,popular_products",very-high,high,low,low,high,hub-page,/tires/run-flat-tires,1,dataforseo-ideas,big volume but consumer intent; hub only,2026-09-01,US,en
run-flat tires,tire-runflat,run-flat category,informational,22200,11,1.81,-18,"ai_overview,organic,people_also_ask,popular_products",very-high,high,low,low,high,hub-page,/tires/run-flat-tires,1,dataforseo-volume,hyphen variant,2026-09-01,US,en
run flat tires bmw,tire-runflat,run-flat by brand,transactional,2900,0,0,-33,"popular_products,people_also_ask,product_considerations,organic",high,high,medium,very-high,medium,brand-page,/tires/run-flat-tires/bmw,2,dataforseo-ideas,KD 0 strong traffic,2026-09-01,US,en
run flat tires bridgestone,tire-runflat,run-flat by brand,transactional,1600,0,0,-16,"organic,people_also_ask,popular_products,video",high,high,medium,very-high,medium,brand-page,/tires/run-flat-tires/bridgestone,2,dataforseo-ideas,,2026-09-01,US,en
run flat tires continental,tire-runflat,run-flat by brand,commercial,1000,0,0,-23,"ai_overview,organic,people_also_ask,popular_products",medium,high,medium,very-high,medium,brand-page,/tires/run-flat-tires/continental,3,dataforseo-ideas,,2026-09-01,US,en
run flat tires mercedes,tire-runflat,run-flat by brand,transactional,720,0,0,-33,"popular_products,people_also_ask,product_considerations,organic",medium,high,medium,very-high,medium,brand-page,/tires/run-flat-tires/mercedes,3,dataforseo-ideas,,2026-09-01,US,en
run flat tires price,tire-runflat,run-flat cost,transactional,1300,0,0,0,"ai_overview,organic,people_also_ask,popular_products",medium,high,high,very-high,low,cost-article,/cost/run-flat-tires-cost,2,dataforseo-ideas,,2026-09-01,US,en
run flat tires vs regular tires,tire-runflat,run-flat comparison,informational,720,1,0,-33,"organic,people_also_ask,discussions_and_forums,video",medium,medium,high,very-high,low,comparison-page,/tires/run-flat-vs-regular,2,dataforseo-ideas,KD 1 easy comparison win,2026-09-01,US,en
run flat tires near me,tire-runflat,run-flat local,transactional,590,7,0,-33,"local_pack,organic,people_also_ask,popular_products",low,low,low,high,low,local-page,/tires/run-flat-tires,4,dataforseo-ideas,local intent not core,2026-09-01,US,en
carro blindado,tire-core-br,,transactional,9900,0,0,-18,"ai_overview,organic,people_also_ask,video",very-high,high,high,very-high,high,money-page,/pt-br/carro-blindado,1,dataforseo-ideas,Brazil head term KD 0,2026-09-01,BR,pt
carro blindado usado,tire-core-br,,transactional,1900,0,0,-16,"local_pack,organic,people_also_ask,related_searches",high,high,high,very-high,medium,listing-page,/pt-br/carro-blindado,2,dataforseo-ideas,used market,2026-09-01,BR,pt
carro blindado preco,tire-core-br,,transactional,880,0,0,-41,"ai_overview,organic,people_also_ask,related_searches",medium,high,high,very-high,medium,cost-article,/pt-br/preco-carro-blindado,2,dataforseo-ideas,price intent,2026-09-01,BR,pt
carro blindado venda,tire-core-br,,transactional,170,0,0,21,"organic,people_also_search,related_searches,images",low,high,high,very-high,medium,listing-page,/pt-br/carro-blindado,3,dataforseo-ideas,growth +21,2026-09-01,BR,pt
bulletproof,ng-generic,,informational,720,31,0,-18,"ai_overview,organic,people_also_ask,video",medium,medium,low,low,high,hub-page,/bulletproof-solutions,4,dataforseo-ideas,Nigeria generic high KD,2026-09-01,NG,en
bulletproof car,ng-car,,informational,480,12,0,-19,"ai_overview,organic,video,people_also_ask",medium,high,high,high,medium,money-page,/products/bulletproof-vehicle-glass,1,dataforseo-ideas,Nigeria demand,2026-09-01,NG,en
bulletproof vest,ng-generic,,transactional,480,7,0,0,"organic,people_also_ask,short_videos,related_searches",medium,low,low,high,low,no-page,,4,dataforseo-ideas,NOT our product; ignore,2026-09-01,NG,en
bulletproof vehicle,za-vehicle,,informational,720,40,0,-52,"organic,images,related_searches",medium,high,medium,low,high,hub-page,/armored-vehicles,2,dataforseo-ideas,South Africa KD 40,2026-09-01,ZA,en
second hand armoured vehicles for sale,za-vehicle,,transactional,110,0,0,22,"organic,local_pack,people_also_ask,related_searches",low,high,high,very-high,low,listing-page,/armored-vehicles/bulletproof-cars,2,dataforseo-ideas,SA growth +22,2026-09-01,ZA,en
b6 armoured vehicle for sale south africa,za-vehicle,,transactional,70,0,0,80,"organic,local_pack,people_also_ask,related_searches",low,high,high,very-high,low,listing-page,/armored-vehicles/bulletproof-cars,2,dataforseo-ideas,strong +80% growth,2026-09-01,ZA,en
bulletproof car price in south africa,za-vehicle,,commercial,50,0,0,29,"ai_overview,organic,people_also_ask,related_searches",low,high,high,very-high,low,cost-article,/cost/bulletproof-car-cost,3,dataforseo-ideas,+29% growth,2026-09-01,ZA,en
armored car,ae-vehicle,,informational,260,33,0,-19,"ai_overview,organic,people_also_ask,video",low,high,low,low,high,hub-page,/armored-vehicles,4,dataforseo-ideas,UAE KD 33,2026-09-01,AE,en
armored car for sale,ae-vehicle,,transactional,110,5,0,250,"organic,related_searches,images",low,high,high,very-high,low,listing-page,/armored-vehicles/bulletproof-cars,1,dataforseo-ideas,UAE +250% growth,2026-09-01,AE,en
armored car manufacturers,ae-vehicle,,informational,70,0,0,50,"organic,images,related_searches",low,medium,medium,very-high,medium,comparison-page,/armored-vehicles/manufacturers,3,dataforseo-ideas,+50%,2026-09-01,AE,en
